Date : 2023-01-17 18:51:19
Directory : e:\VSC\日常练习\react练习\graduationProject
Total : 82 files,  33933 codes, 741 comments, 514 blanks, all 35188 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\VSC\日常练习\react练习\graduationProject\src\components\LeftNav\index.jsx             | JavaScript |         76 |         10 |         12 |         98 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\LeftNav\index.less            | Less       |         18 |          1 |          2 |         21 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\RightContent\Footer.jsx       | JavaScript |         14 |          0 |          2 |         16 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\RightContent\Header.jsx       | JavaScript |         79 |         13 |         10 |        102 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\RightContent\Header.less      | Less       |          9 |          0 |          1 |         10 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\RightContent\Middle.jsx       | JavaScript |         32 |          0 |          3 |         35 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\Role\Add.jsx                  | JavaScript |         32 |          3 |          5 |         40 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\Role\Power.jsx                | JavaScript |         84 |         57 |         11 |        152 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\SelectiveSeq\index.jsx        | JavaScript |         41 |          7 |          5 |         53 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\StartScoreHandle\index.jsx    | JavaScript |         27 |          0 |          5 |         32 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\StartScoreHandle\index.less   | Less       |          3 |          0 |          0 |          3 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\StartScore\index.jsx          | JavaScript |         34 |          1 |          8 |         43 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\StartScore\index.less         | Less       |          3 |          0 |          0 |          3 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\StuView\index.jsx             | JavaScript |        167 |         98 |         17 |        282 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\Tab\index.jsx                 | JavaScript |         25 |          0 |          4 |         29 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\TchView\index.jsx             | JavaScript |        158 |         27 |          3 |        188 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\User\Add.jsx                  | JavaScript |        134 |         11 |         12 |        157 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\User\Import.jsx               | JavaScript |        173 |         44 |         20 |        237 |
| e:\VSC\日常练习\react练习\graduationProject\src\config\menuConfig.js                     | JavaScript |         24 |         16 |          4 |         44 |
| e:\VSC\日常练习\react练习\graduationProject\src\index.js                                 | JavaScript |         14 |         25 |          5 |         44 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\Admin\index.jsx                    | JavaScript |         33 |          4 |          5 |         42 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\Admin\index.less                   | Less       |          3 |          0 |          2 |          5 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\Department\index.jsx               | JavaScript |        345 |         11 |         25 |        381 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\Banner0.jsx              | JavaScript |         52 |          0 |          2 |         54 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\Content9.jsx             | JavaScript |         82 |          0 |          5 |         87 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\Footer1.jsx              | JavaScript |         65 |          0 |          5 |         70 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\Nav0.jsx                 | JavaScript |        130 |          0 |          6 |        136 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\Teams0.jsx               | JavaScript |         72 |          0 |          4 |         76 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\data.source.js           | JavaScript |        449 |          0 |          1 |        450 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\documentation.md         | Markdown   |          3 |          0 |          2 |          5 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\index.jsx                | JavaScript |         87 |          7 |          8 |        102 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\less\antMotionStyle.less | Less       |          9 |          0 |          0 |          9 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\less\banner0.less        | Less       |         82 |          1 |          2 |         85 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\less\common.less         | Less       |         30 |          6 |          7 |         43 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\less\content.less        | Less       |         42 |          0 |          3 |         45 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\less\content9.less       | Less       |        144 |          0 |          2 |        146 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\less\custom.less         | Less       |         26 |          2 |          8 |         36 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\less\edit.less           | Less       |          5 |          0 |          1 |          6 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\less\footer1.less        | Less       |         96 |          0 |          3 |         99 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\less\nav0.less           | Less       |        156 |          0 |         32 |        188 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\less\teams0.less         | Less       |         66 |          0 |          5 |         71 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\FirstPage\utils.js                 | JavaScript |         16 |          0 |          3 |         19 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\First\index.jsx                    | JavaScript |         10 |          0 |          2 |         12 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\Home\index.jsx                     | JavaScript |         35 |         33 |         16 |         84 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\Info\declaration\index.jsx         | JavaScript |         89 |         15 |         13 |        117 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\Info\declaration\index.less        | Less       |          9 |          2 |          1 |         12 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\Login\index.jsx                    | JavaScript |        125 |         56 |         10 |        191 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\Login\index.less                   | Less       |         44 |          3 |         11 |         58 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\MyHooks\index.jsx                  | JavaScript |        121 |         22 |         25 |        168 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\Notice\MoreNotice.jsx              | JavaScript |         20 |          1 |          3 |         24 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\Notice\index.jsx                   | JavaScript |         52 |         23 |         10 |         85 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\Notice\index.less                  | Less       |         17 |          0 |          1 |         18 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\PersonalInfo\index.jsx             | JavaScript |          9 |          0 |          3 |         12 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\Role\index.jsx                     | JavaScript |        179 |         32 |         15 |        226 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\Role\index.less                    | Less       |         12 |          3 |          3 |         18 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\TestRoute\a.js                     | JavaScript |          5 |          0 |          2 |          7 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\TestRoute\b.js                     | JavaScript |          2 |          0 |          1 |          3 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\TestRoute\index.jsx                | JavaScript |        153 |         51 |         14 |        218 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\TestRoute\index.less               | Less       |          0 |          8 |          1 |          9 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\TestRoute\index2.jsx               | JavaScript |         11 |          0 |          5 |         16 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\TestRoute\myHook.jsx               | JavaScript |         20 |          4 |          5 |         29 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\TestState\setState.jsx             | JavaScript |         28 |          1 |          3 |         32 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\TestState\useState.jsx             | JavaScript |         39 |          0 |          6 |         45 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\TwoWaySelection\index.jsx          | JavaScript |         38 |          6 |          3 |         47 |
| e:\VSC\日常练习\react练习\graduationProject\src\pages\User\index.jsx                     | JavaScript |        234 |         47 |         16 |        297 |
| e:\VSC\日常练习\react练习\graduationProject\src\routers\index.js                         | JavaScript |        101 |         10 |          2 |        113 |
| e:\VSC\日常练习\react练习\graduationProject\src\utils\memoryUtils.js                     | JavaScript |          4 |          1 |          1 |          6 |
| e:\VSC\日常练习\react练习\graduationProject\src\utils\storageUtils.js                    | JavaScript |         14 |          5 |          5 |         24 |
| e:\VSC\日常练习\react练习\graduationProject\src\utils\timeUtils.js                       | JavaScript |         16 |          2 |          1 |         19 |
| Total                                                                              |            |     33,933 |        741 |        514 |     35,188 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
